1,Iris-versicolor
1,Iris-virginica
1,Iris-versicolor
1,Iris-versicolor
1,Iris-virginica
2,Iris-virginica
0,Iris-setosa
1,Iris-versicolor
1,Iris-virginica
1,Iris-versicolor
0,Iris-setosa
0,Iris-setosa
1,Iris-versicolor
0,Iris-setosa
0,Iris-setosa
1,Iris-virginica
0,Iris-setosa
0,Iris-setosa
1,Iris-versicolor
0,Iris-setosa
1,Iris-versicolor
1,Iris-virginica
2,Iris-virginica
2,Iris-virginica
2,Iris-virginica
2,Iris-virginica
0,Iris-setosa
1,Iris-virginica
0,Iris-setosa
0,Iris-setosa
2,Iris-virginica
0,Iris-setosa
2,Iris-virginica
0,Iris-setosa
0,Iris-setosa
1,Iris-versicolor
0,Iris-setosa
0,Iris-setosa
0,Iris-setosa
1,Iris-versicolor
1,Iris-versicolor
1,Iris-versicolor
1,Iris-versicolor
1,Iris-virginica
1,Iris-versicolor
93.33333333333333
1,Iris-versicolor
1,Iris-virginica
1,Iris-versicolor
1,Iris-versicolor
1,Iris-virginica
2,Iris-virginica
0,Iris-setosa
1,Iris-versicolor
1,Iris-virginica
1,Iris-versicolor
0,Iris-setosa
0,Iris-setosa
1,Iris-versicolor
0,Iris-setosa
0,Iris-setosa
1,Iris-virginica
0,Iris-setosa
0,Iris-setosa
1,Iris-versicolor
0,Iris-setosa
1,Iris-versicolor
1,Iris-virginica
2,Iris-virginica
2,Iris-virginica
2,Iris-virginica
2,Iris-virginica
0,Iris-setosa
1,Iris-virginica
0,Iris-setosa
0,Iris-setosa
2,Iris-virginica
0,Iris-setosa
2,Iris-virginica
0,Iris-setosa
0,Iris-setosa
1,Iris-versicolor
0,Iris-setosa
0,Iris-setosa
0,Iris-setosa
1,Iris-versicolor
1,Iris-versicolor
1,Iris-versicolor
1,Iris-versicolor
1,Iris-virginica
1,Iris-versicolor
93.33333333333333
1,Iris-versicolor
1,Iris-virginica
1,Iris-versicolor
1,Iris-versicolor
1,Iris-virginica
2,Iris-virginica
0,Iris-setosa
1,Iris-versicolor
1,Iris-virginica
1,Iris-versicolor
0,Iris-setosa
0,Iris-setosa
1,Iris-versicolor
0,Iris-setosa
0,Iris-setosa
1,Iris-virginica
0,Iris-setosa
0,Iris-setosa
1,Iris-versicolor
0,Iris-setosa
1,Iris-versicolor
1,Iris-virginica
2,Iris-virginica
2,Iris-virginica
2,Iris-virginica
2,Iris-virginica
0,Iris-setosa
1,Iris-virginica
0,Iris-setosa
0,Iris-setosa
2,Iris-virginica
0,Iris-setosa
2,Iris-virginica
0,Iris-setosa
0,Iris-setosa
1,Iris-versicolor
0,Iris-setosa
0,Iris-setosa
0,Iris-setosa
1,Iris-versicolor
1,Iris-versicolor
1,Iris-versicolor
1,Iris-versicolor
1,Iris-virginica
1,Iris-versicolor
93.33333333333333
1,Iris-versicolor
1,Iris-virginica
1,Iris-versicolor
1,Iris-versicolor
1,Iris-virginica
2,Iris-virginica
0,Iris-setosa
1,Iris-versicolor
1,Iris-virginica
1,Iris-versicolor
0,Iris-setosa
0,Iris-setosa
1,Iris-versicolor
0,Iris-setosa
0,Iris-setosa
1,Iris-virginica
0,Iris-setosa
0,Iris-setosa
1,Iris-versicolor
0,Iris-setosa
1,Iris-versicolor
1,Iris-virginica
2,Iris-virginica
2,Iris-virginica
2,Iris-virginica
2,Iris-virginica
0,Iris-setosa
1,Iris-virginica
0,Iris-setosa
0,Iris-setosa
2,Iris-virginica
0,Iris-setosa
2,Iris-virginica
0,Iris-setosa
0,Iris-setosa
1,Iris-versicolor
0,Iris-setosa
0,Iris-setosa
0,Iris-setosa
1,Iris-versicolor
1,Iris-versicolor
1,Iris-versicolor
1,Iris-versicolor
1,Iris-virginica
1,Iris-versicolor
93.33333333333333
